Symbol,Date,Open,High,Low,Close,Volume
SGSH,06-Jan-2015,150.1,158.21,150.1,156.52,0
SGSJ,06-Jan-2015,13.94,14.66,13.94,14.53,0
SGSK,06-Jan-2015,123.71,130.13,123.71,129,0
SGSM,06-Jan-2015,227.66,228.39,226.47,227.03,0
SGSN,06-Jan-2015,2350.01,2357.55,2337.72,2343.5,0
SGSO,06-Jan-2015,293.4,297.11,285.39,287.64,0
SGSP,06-Jan-2015,1019.65,1032.57,992.04,999.65,0
SGSQ,06-Jan-2015,2581.63,2613.78,2511.74,2530.99,0
SGSR,06-Jan-2015,399.66,409.49,397.79,401.52,0
SGSS,06-Jan-2015,12.92,13.24,12.86,12.98,0
SGST,06-Jan-2015,133.49,136.78,132.87,134.12,0
SGSU,06-Jan-2015,171.4,172.38,170.2,170.53,0
SGSV,06-Jan-2015,53.29,53.6,52.92,53.02,0
SGSW,06-Jan-2015,107.42,108.05,106.66,106.87,0
SGSX,06-Jan-2015,375.8,377.13,373.95,374.88,0
SGT,06-Jan-2015,3131.88,3142.73,3062.94,3076.86,0
SGTR,06-Jan-2015,229.88,230.87,229.56,230.33,0
SGV,06-Jan-2015,367.75,368.13,362.33,365.33,0
SGWC,06-Jan-2015,417.65,417.73,412.83,413.53,0
SGWE,06-Jan-2015,282.99,283.65,279.78,280.61,0
SGWM,06-Jan-2015,388.19,388.27,383.72,384.37,0
SGWN,06-Jan-2015,1810.4,1818.21,1779.64,1793.88,0
SGWP,06-Jan-2015,1645.82,1652.87,1617.99,1630.83,0
SGWT,06-Jan-2015,175.49,176.29,174.58,175.16,0
SGX,06-Jan-2015,404.6,406.47,396.14,397.95,0
SGY,06-Jan-2015,323.45,324.54,321.21,321.68,0
SHEP,06-Jan-2015,284.63,285.96,282.11,283.01,0
SHEU,06-Jan-2015,346.99,348.83,344.09,345.18,0
SHLD,06-Jan-2015,344.56,347.91,342.24,343.87,0
SHLP,06-Jan-2015,298.08,301.48,295.86,297.8,0
SHLS,06-Jan-2015,403.34,407.17,400.54,402.45,0
SHLX,06-Jan-2015,254.64,257.6,252.8,254.45,0
SHSB,06-Jan-2015,408.2,408.2,402.24,403.83,0
